symbol,name,ticker,current_price,market_cap,market_cap_rank,momentum_score,1d_change_percent,1d_volatility,1d_trend_strength,3d_change_percent,3d_volatility,3d_trend_strength,7d_change_percent,7d_volatility,7d_trend_strength,14d_change_percent,14d_volatility,14d_trend_strength,30d_change_percent,30d_volatility,30d_trend_strength
SOL,Solana,X:SOLUSD,195.87,92058900000.00002,4,9.78062765969031,6.1418287639761076,0,0,0.9321293329449538,8.255354308039834,19.206768499247012,10.60864013619919,6.704462946278368,51.84699709689854,2.5653675382338514,5.558677327525273,33.98961294632431,13.525910555343204,4.765173621908132,73.06782604860604
BTC,Bitcoin,X:BTCUSD,111788.01,2213402598000.0,1,9.34701501152442,0.14110636731077442,0,0,-1.3502617247395972,2.0820191174764293,32.08739351149576,-2.0391420770765514,2.277624099201407,56.55748714713687,-9.223361985079467,2.0217669439062598,83.7529880087019,-5.1143967987713115,1.7678550164003266,32.155402435324895
XLM,Stellar,X:XLMUSD,0.394826,11449954000.0,8,7.9422895092392425,-2.223257840162504,0,0,-5.333522969705587,4.270399511053438,65.77525587147652,-4.572061382692614,4.75482654055928,48.01948071623639,-14.441612552913277,4.07039332533246,77.40962973501208,-7.928383867051767,4.2458806721282185,7.589988968987635
LINK,Chainlink,X:LINKUSD,24.382,13410100000.0,7,7.405854691461356,-0.282995652530566,0,0,-5.8365608055770775,6.68738272530474,47.35990848585387,-8.134965616262383,5.7573335343462775,66.76425777720908,1.2366755496335802,7.236418134494634,40.58878988472579,34.199922724512874,6.454639586035965,88.88150078558814
BCH,Bitcoin Cash,X:BCHUSD,550.92,10908216000.0,9,6.941108404783221,1.4049226747985206,0,0,-4.188104548260972,4.653454648706999,50.17385057223932,-0.41001140901313254,4.460514413213898,29.55972086098188,-9.343762170582897,3.422591126486056,60.590919967780486,-2.443028027591026,3.610986323415493,12.929855347976721
ADA,Cardano,X:ADAUSD,0.8665,30327500000.0,6,5.878676728565733,0.47316791690709664,0,0,-4.443078544145405,6.010758249325458,39.24602701692751,-1.1916922029281527,5.467604496524466,25.1110204721474,-3.673379066165081,4.937903725793322,54.483376843324116,9.757942511346448,4.501792404296905,75.79334768979079
XRP,Ripple,X:XRPUSD,3.0172,168963199999.99997,3,4.873386658865251,-0.12925891555083496,0,0,-0.3966548772022613,5.52284617380017,19.738356819029317,2.1042287882895105,4.714286886486881,20.77521024869324,-7.850152905198775,4.112433820001685,53.71334398642775,-3.5404462370754444,4.148876174958272,18.609571193214084
AVAX,Avalanche,X:AVAXUSD,24.17,9909700000.0,10,4.273532717588383,3.351261894911041,0,0,-3.2532920216886128,7.469326676561376,20.878280487046638,6.569965870307164,6.463425413960488,27.041703903771143,-1.9623233908948194,5.617142131654085,14.582326833873827,-0.9123363744545832,4.967710500880086,46.19566735611848
ETH,Ethereum,X:ETHUSD,4601.64,554497620000.0,2,4.235537839883596,1.1830564755174153,0,0,-2.7572523547962744,7.061390086698821,12.914052650709081,7.4069375015859364,7.170569560209709,34.57751234508527,-2.39030628288716,5.727561629702197,19.150268390657835,22.54583546082864,4.890596639644227,82.77257227534467
DOGE,Dogecoin,X:DOGEUSD,0.21897,31969620000.0,5,3.2133510632543643,1.0777732109421387,0,0,-4.520943876450537,7.13475250669333,32.495208411081194,-0.17589752841421677,6.68499655362632,20.997505594579696,-9.57633696939984,5.820241308188723,36.35851995612268,-2.183232421443408,5.1881062862965726,35.429438721766815
